,val_loss,val_mae,val_mape,val_mse,loss,mae,mape,mse
18,36621232.722222224,2868.18701171875,151.7508087158203,36621232.0,3149166.8422273784,625.1087646484375,748.004638671875,3149166.25
19,35544427.222222224,2949.639404296875,170.8802490234375,35544428.0,3101246.1402383023,614.1257934570312,882.3253173828125,3101246.5
20,35353209.833333336,2794.06640625,140.78765869140625,35353208.0,3000903.914980907,610.1971435546875,949.1699829101562,3000903.75
21,34783835.88888889,2781.1533203125,137.49273681640625,34783836.0,2976052.1639114465,598.14404296875,1127.76416015625,2976052.5
22,34338008.333333336,2743.1845703125,130.1801300048828,34338008.0,2834846.7981438516,602.6376342773438,1322.375732421875,2834847.5
23,34861629.55555555,2666.72314453125,105.87447357177734,34861628.0,2751464.758217324,589.6802978515625,1320.1085205078125,2751464.0
24,33381151.777777776,2707.126708984375,124.02071380615234,33381152.0,2865170.701348608,569.8045654296875,1425.4400634765625,2865171.25
25,32989677.0,2670.9970703125,116.57707977294922,32989674.0,2577109.7573472545,586.52587890625,1546.903076171875,2577109.5
26,31952937.944444444,2687.447021484375,122.74887084960938,31952938.0,2575841.6530839135,566.843994140625,1398.72021484375,2575841.5
27,30528793.222222224,2707.699462890625,133.93409729003906,30528792.0,2407368.775280356,563.069091796875,1378.9874267578125,2407368.75
28,30348035.777777776,2602.303955078125,109.19853210449219,30348036.0,2256163.711861949,554.835205078125,1435.0927734375,2256163.75
29,29457496.888888888,2586.6240234375,104.6300277709961,29457494.0,2170923.3279437353,540.4508056640625,1452.42431640625,2170923.25
30,28433467.722222224,2583.73779296875,113.47017669677734,28433470.0,2133209.167198376,527.2235717773438,1457.73828125,2133208.75
31,28991255.777777776,2506.472412109375,91.50892639160156,28991256.0,1957961.3326082753,521.359375,1357.03271484375,1957961.875
32,27623233.555555556,2488.610107421875,99.62931060791016,27623234.0,1945583.525014501,506.79278564453125,1422.01318359375,1945583.625
33,26209035.333333332,2497.053466796875,107.21347045898438,26209034.0,1850929.1044325212,502.625,1477.7283935546875,1850928.875
34,25781531.944444444,2434.174560546875,95.39415740966797,25781532.0,1691585.5110208816,499.64306640625,1528.8851318359375,1691585.625
35,25744607.222222224,2407.210693359375,94.59288024902344,25744606.0,1596734.4041956689,487.5326843261719,1455.0509033203125,1596734.5
36,24748471.222222224,2388.6015625,91.71223449707031,24748472.0,1560977.1365042536,483.1083679199219,1476.589599609375,1560977.125
37,23415977.055555556,2405.15380859375,104.58731842041016,23415976.0,1499899.5169663574,467.8877258300781,1436.0361328125,1499899.875
38,22322702.111111112,2398.4091796875,111.05071258544922,22322702.0,1497298.024639888,460.2361755371094,1372.524169921875,1497298.0
39,21808788.166666668,2327.51708984375,102.39863586425781,21808788.0,1348389.6186194895,455.8063659667969,1341.26123046875,1348389.875
40,21404741.444444444,2285.58154296875,97.21085357666016,21404742.0,1288160.3584445089,445.2089538574219,1346.7935791015625,1288160.25
41,22255819.333333332,2243.5732421875,87.32953643798828,22255818.0,1177485.2346408546,446.9750671386719,1433.1474609375,1177485.125
42,20625339.833333332,2257.232177734375,98.16651916503906,20625340.0,1235767.5068638825,433.9952087402344,1290.8121337890625,1235767.125
43,19881773.833333332,2214.896240234375,93.73921966552734,19881774.0,1161182.3355024653,421.58502197265625,1277.1861572265625,1161182.125
44,19510459.722222224,2282.48876953125,105.11424255371094,19510460.0,1135488.2353054911,416.5256042480469,1115.0250244140625,1135488.25
45,19274543.5,2273.933349609375,108.35520935058594,19274544.0,1078229.792089617,411.3527526855469,1229.4171142578125,1078229.875
46,17938875.111111112,2242.5546875,109.1787109375,17938874.0,975834.7604650039,412.8092041015625,1215.015869140625,975834.6875
47,17803070.25,2106.843994140625,90.26139831542969,17803070.0,914792.4732695282,402.2764587402344,1247.5693359375,914792.3125
48,18890291.166666668,2087.15673828125,82.82960510253906,18890290.0,860674.003782386,387.4751281738281,1153.7237548828125,860674.0625
49,16414284.777777778,2111.7724609375,101.3099365234375,16414286.0,894042.9979396268,387.1822509765625,1164.599853515625,894043.0
50,16863423.305555556,2048.716552734375,92.09437561035156,16863422.0,823778.6968411639,379.8230285644531,1089.7733154296875,823778.625
51,16503244.666666666,2046.9874267578125,94.91189575195312,16503244.0,793264.3508011891,379.9326171875,1157.6898193359375,793264.1875
52,15808445.444444444,2104.2587890625,103.11042022705078,15808446.0,795109.2367616493,367.7381591796875,1079.615478515625,795109.375
53,16172836.777777778,2005.9129638671875,86.16413116455078,16172837.0,779813.5172805492,365.8656311035156,1062.625244140625,779813.5
54,15525122.75,1987.1258544921875,89.64546203613281,15525122.0,777564.3440158546,363.474853515625,1030.5614013671875,777564.375
55,15485129.861111112,1976.5438232421875,85.94496154785156,15485131.0,732408.8964375483,353.8536071777344,960.302490234375,732408.9375
56,15471537.5,1994.9556884765625,87.57728576660156,15471536.0,719225.8343484146,356.7659606933594,951.6525268554688,719225.9375
57,15519127.416666666,1903.7552490234375,73.79849243164062,15519129.0,702539.3138715681,358.4972229003906,931.1432495117188,702539.375
58,15221758.083333334,1884.1392822265625,76.3960189819336,15221758.0,676876.5920521559,341.57135009765625,893.070556640625,676876.5
59,15191912.75,1847.1107177734375,72.70614624023438,15191911.0,651697.4777331665,332.2821044921875,858.5154418945312,651697.375
60,15106306.777777778,1820.7879638671875,67.14501953125,15106308.0,635881.8833562935,325.5259094238281,810.8980712890625,635881.9375
61,15023144.777777778,1805.5107421875,61.01362991333008,15023145.0,630552.9662727185,319.64453125,794.4738159179688,630553.125
62,13930092.222222222,1905.32666015625,84.09718322753906,13930092.0,624259.9668648492,325.6490783691406,802.4910278320312,624259.9375
63,13922802.777777778,1807.070556640625,71.73176574707031,13922804.0,603459.3085605182,320.52001953125,746.646728515625,603459.4375
64,13394296.194444444,1808.7606201171875,77.31350708007812,13394296.0,577934.8523781903,322.26031494140625,777.5752563476562,577934.875
65,13387380.527777778,1746.98828125,68.91291809082031,13387380.0,526167.4177059165,304.2574157714844,723.2999877929688,526167.4375
66,13668873.555555556,1765.5753173828125,67.83002471923828,13668874.0,547294.5474671307,305.0842590332031,686.1743774414062,547294.5
67,11846654.722222222,1693.115478515625,65.0452880859375,11846655.0,595091.2464713844,311.3780822753906,682.6378784179688,595091.125
68,11614592.111111112,1719.78173828125,77.06329345703125,11614592.0,522601.63228683296,305.3559265136719,743.8670043945312,522601.6875
69,14439516.611111112,1831.7803955078125,61.17729949951172,14439518.0,483096.3907941802,298.31707763671875,696.1675415039062,483096.40625
70,12297022.388888888,1663.2857666015625,67.03705596923828,12297023.0,508493.3693928848,295.3179931640625,678.7391967773438,508493.375
71,13188491.333333334,1727.49560546875,60.98074722290039,13188491.0,514729.86597302783,293.6763916015625,672.4713134765625,514729.875
72,12478816.0,1674.88427734375,60.26367950439453,12478816.0,485007.6491504737,289.0715026855469,622.882080078125,485007.65625
73,10660454.722222222,1644.09228515625,70.21383666992188,10660455.0,466472.96181361174,289.10089111328125,614.8523559570312,466472.9375
74,11831634.083333334,1629.232421875,62.37281799316406,11831634.0,477932.2829780549,287.35821533203125,583.151611328125,477932.34375
